Titre,Localisation,Entreprise,Salaire,Description
Stage - Data Scientist H/F,Paris (75),Allianz France,Indisponible,"Si tu aimes coder en Python, versionner ton code avec Git, si tu veux découvrir la méthodologie agile, analyser des millions de lignes avec Spark, et qu’en plus, tu aimes jouer aux jeux de société, n’hésites pas à postuler.

Au sein du département Big Data & IA de l'Unité Data, Client et Communication du groupe Allianz France, vous intégrez une équipe plateau composée de data scientists, de project managers, de data engineers et de data storytellers.

Les principales missions du poste seront de :
#- Manipuler (data validation, data cleaning, feature engineering) des typologies de données variées à la fois en termes de contenu fonctionnel que de source ou encore de format (ex : données issues des bases assurantielles, de google analytics, de l’open-data, de texte, de conversation téléphonique, des logs de navigation, d’image...).
#- Apporter une solution analytique pour répondre aux besoins opérationnels via la création de règles métier, de dashboard, de modèle prédictive ou de segmentation.
#- Produire des scripts industrialisables : description technique et fonctionnelle du code, création du data process,
développement de data quality check et unit tests, alimentation et analyse des logs, session de pair-programming avec un data engineer.
#- Suivre l’efficacité des dispositifs déployés
Les sujets de la direction sont très variés : détection de la fraude, satisfaction client (ex : analyse d’enquête de
satisfaction), digital (ex : mesure de la performance des campagnes digitales), marketing (ex : churn, mutli-équipement), automatisation des process internes (ex : reconnaissance automatique des documents et extraction des informations)

Environnement de travail:
Plateforme Big Data : One FS + Spark
Editeurs : Zeppelin pour l’exploration des données, Jupyter ou Pycharm pour la mise en production

Outils open source : ELK (ElasticSearch / Logstash / Kibana), H20…
Intégration continue avec Git
Outil de data visualisation : Microstrategy, Flask

Environnement anglophone : contacts réguliers avec le datalab d’Allianz SE situé à Munich.

Formation supérieure minimum BAC+5 (école d’ingénieur ou université scientifique)
Maîtrise de Python
Maîtrise de l’anglais
La maîtrise de Pyspark, des commandes Linux, ou git serait un plus

Qualités requises: fort sens du résultat, réactivité, curiosité, passionné, travail en équipe"
ASSISTANT DATA SCIENTIST H/F - STAGE 3 MOIS,Mérignac (33),BNP Paribas,Indisponible,"ASSISTANT DATA SCIENTIST H/F - STAGE 3 MOIS (NUMÉRO DE L'EMPLOI : PF_20032020_1)

BNP Paribas Personal Finance cherche son futur Assistant Data Scientist H/F !

Zoom sur votre quotidien

Dans le cadre de votre stage vous aurez pour mission de réaliser une veille sur les techniques de rééchantillonnage existantes, vous étudierez et comprendrez la mécanique de ces approches et vous identifierez leurs avantages et inconvénients en lien avec les besoins du Centre de scoring,

Vous aurez pour mission de produire des tests de comparaison de ces techniques et vous essayerez de produire les règles de leur application
Enfin vous documenterez et présenter les travaux menés à l’équipe.

Les missions c’est important mais l’équipe et l’environnement de travail aussi !

Au sein de la Direction des Risques, le Centre de scoring a pour mission de construire et de maintenir les modèles statistiques d’aide à la décision utilisés pour la gestion du risque dans les différentes entités du Groupe BNPP PF.
Très souvent pour la construction de ses modèles, le Centre de scoring doit traiter des bases de données non équilibrées dans lesquelles une des modalités de la variable cible est très largement sous représentée par rapport à l’autre (ex. une proportion de fraudeurs de 1%).

Dans le cadre de l’amélioration de ses pratiques, le Centre de scoring souhaite évaluer si le recours à des méthodes destinées à ré équilibrer la base de données (over- ou undersampling) peut permettre d’obtenir un modèle plus performant. Cette problématique pose également la question du choix de la métrique d’évaluation d’un modèle dans une telle situation.

Pourquoi BNP Paribas Personal Finance ?


BNP Paribas Personal Finance est la filiale du Groupe BNP Paribas, N°1 sur le financement des particuliers en France et en Europe et comprend 20.000 collaborateurs.

Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur : https://www.bnpparibas-pf.com/fr/

Parlons de vous maintenant !

Vous préparez une formation bac+4/5 du type école d'ingénieur ou équivalent universitaire avec une spécialité en Statistique, Mathématiques appliquées ou Data science.

Votre compétence porte à la fois sur les dimensions pratique (mise en œuvre) et théorique (compréhension des concepts) en Machine Learning et vous maitrisez le langage Python.

Rigoureux, vous avez développé une grande capacité d’analyse et d’apprentissage.
Enfin vous êtes à l’aise pour communiquer que se soit à l’oral ou à l’écrit.

Informations complémentaires :

Le stage est d'une durée de 3 mois t basé à Mérignac (33).

Alors n’hésitez plus… Postulez !"
Stage - OCR Contextualisée - Data Science,Paris (75),SCOR,Indisponible,"EMEA
Paris France (FR)
|
Stage - OCR Contextualisée - Data Science
Training Contract
Asset Management
About SCOR
SCOR, the 4th largest reinsurer in the world, provides insurance companies with a diversified and innovative range of solutions and services to control and manage risk. Using its experience and expertise, “ The Art & Science of Risk ”, SCOR provides cutting-edge financial solutions, analytics tools and services in all areas related to risk – in Life & Health insurance as well as in P&C insurance. Our specialist teams operate in over 120 countries, developing value added and innovative products and services and making long-term commitments to their clients, namely insurers and large corporations.
SCOR's aim, as an independent global reinsurance company, is to develop its Life and P&C business lines, to provide its clients with a broad range of innovative reinsurance solutions and to pursue an underwriting policy founded on profitability, supported by effective risk management and a prudent investment policy, in order to offer its clients an optimum level of security, to create value for its shareholders, and to contribute to the welfare and resilience of Society by helping to protect insureds against the risks they face.
Dirigé par Denis KESSLER, avec 38 implantations dans le monde et intervenant auprès de plus de 4 000 clients dans le monde entier, SCOR (plus de 2 800 personnes, un chiffre d’affaires annuel de plus de 13 milliards d’euros, une cotation au SBF 120) est le premier réassureur français et le quatrième réassureur mondial.
La mission de SCOR, en tant que compagnie de réassurance indépendante globale, est de développer ses lignes d’activité Vie et Non-Vie, d’offrir à ses clients une large gamme de solutions innovantes de réassurance, de suivre une politique de souscription fondée sur la profitabilité, supportée par une gestion du risque performante et une politique d’investissement prudente, dans l’optique d’offrir à ses clients un niveau de sécurité optimal, de créer de la valeur pour ses actionnaires et de contribuer au bien-être et à la résilience de la société en aidant à la protection des assurés contre les risques auxquels ils sont confrontés.
- Département
L’équipe Data Science est intégrée au sein de la communauté Data Analytics Solution et du département Knowledge. A ce titre, l’équipe supporte les différents projets de data science du monde entier et garantit la réalisation technique des services impliquant des modèles de machine learning ou plus généralement des modules informatiques automatisant certaines actions humaines.
Le rôle de l’équipe est ainsi d’être à la pointe des techniques de predictive modelling et d’assurer l’assimilation des dernières avancés de la recherche dans le but de les appliquer. Les méthodes mises en oeuvre doivent répondre à un besoin métier existant ou probant dans un futur proche. La maitrise des outils mais aussi des théories qu’ils implémentent est ainsi primordiale. L’adéquation avec les attentes des équipes business de SCOR est au coeur des préoccupations de l’équipe Data Science.

- Missions et responsabilités
Lors du stage l’étudiant devra tenter d’apporter des réponses aux différents points suivants :
Automatiser l’extraction d’information provenant de documents potentiellement scannés (méthodes OCR et NER)
Traiter l’information extraite (NLP) et la relier à la classification d’un risque
Prendre du recul quant à la mesure d’erreur potentiellement engendrée par l’algorithme et le critiquer relativement au cadre réglementaire (GDPR, S2)
Restituer les travaux sous forme intelligible (utilisation de Git, documentation du code, rapport technique). Le livrable final sera fait sous forme d’une librairie Python.
Comme le département a un périmètre global (mondial), l’essentiel du travail s’effectue en anglais.
Le poste nécessite des contacts réguliers avec l’équipe de data science et de data engineer.
L’équipe est composée actuellement de 7 data scientists (dont 2 actuaires) et travaille en étroite collaboration avec les équipes actuarielles, IT et de souscription.

Dans le cadre de vos fonctions de data scientist, vous êtes chargé de :
Recueillir les besoins métiers des bureaux locaux (France)
Exploiter (et si besoin préparer) les données de souscription (pièces scannées, etc.)
Mettre en place un modèle de classification des dossiers en utilisation des techniques de machine learning intégrant l’expertise métier
Participer éventuellement aux travaux de publication du département, en apportant vos compétences en statistique et data science

- Profil
Si le stage est avant tout un moment de perfectionnement des acquis académiques, il est nécessaire pour tirer pleinement profit de l’encadrement, de disposer d’une base de connaissances suffisamment solide en mathématiques appliqués et en informatique et d’une volonté d’apprentissage certaine.
Vous maitrisez les fondamentaux du langage Python (notamment la POO)
Une appétence pour les thématiques assurantielles ainsi que pour la recherche est nécessaire
Votre pragmatisme et votre sens de l’organisation vous permettront de structurer vos travaux et de vous assurer que la politique mise en place est objective et documentée
Votre disponibilité et votre esprit d’équipe seront indispensables pour favoriser l’échange et le partage d’information et la recherche de la satisfaction de vos objectifs internes tout en étant capable d’intégrer les contraintes techniques
Vous disposez de très bonnes qualités relationnelles pour vous permettre de travailler avec des personnalités, des cultures et des métiers différents
Vos qualités rédactionnelles vous permettront de participer à la production de publications et articles métier
Une bonne maitrise de l’anglais est nécessaire tant à l’écrit qu’à l’oral
Français et anglais courants.
Please contact your HR team should you have any question."
Data Scientist - Stage F/H,Paris (75),AG2R La Mondiale,Indisponible,"Référence : 2020-23526
Caractéristique du poste
Type de contrat : Stagiaire
Pays / région / département : France, Ile-de-France , PARIS (75)
Ville : PARIS
Votre rôle principal
Rattaché à la direction actuariat produit, nous recherchons un stagiaire orienté Data sciences.
Nous vous proposons de faire évoluer les modèles actuariels classiques en saisissant les opportunités offertes par le big data et les techniques du ML (Machine Learning), tout en intégrant les contraintes réglementaires et éthiques.
Depuis quelques années, le monde de l’assurance connait des mutations importantes :
Digitalisation, big data, algorithmes du ML : présentent une opportunité aux assureurs leur permettant de valoriser les données (dark data), améliorer leur connaissance du risque et mieux répondre aux attentes de l’assuré.
Cette opportunité est étroitement liée à des enjeux importants sur le marché : une concurrence accrue liée aux nouveaux arrivants (insurtechs, GAFA …) et une inflation réglementaire de plus en plus importante liée à l’utilisation éthique des données et des systèmes de l’IA.
Vos responsabilités
Le stagiaire sera amené à challenger les modèles actuariels et proposer des algorithmes innovants pour l'amélioration de la connaissance client (Know Your Customer) en vue de personnaliser l'offre et affiner la tarification des produits prévoyance/santé :
Compréhension des besoins métiers en termes de modélisation du risque actuariel;
Implémentation des modèles de ML;
Mesure de la performance du modèle et interprétation des résultats dans un souci de réponse à la problématique métier identifiée.

Vos compétences et atouts

Vous suivez un cursus de formation orienté DATA Sciences.

Vous avez des connaissances dans les outils suivants :
Méthodes statistiques, SAS base et SQL
Compréhension et connaissance d’algorithmes basiques du ML
Librairies python pour les projets data science (pandas, sickit-learn, keras …)

Dynamisme, rigueur, curiosité, ouverture d’esprit, esprit d’analyse et de synthèse"
Ingénieur Data Scientist expérimenté(e) H/F,Toulouse (31),CS Group,Indisponible,"DESCRIPTION DE L'OFFRE
CS Group recherche un(e) Data Scientist expérimenté(e) H/F afin d’accompagner la croissance de son activité.
Vous réaliserez les missions suivantes :
Analyser de gros volumes de données de type ‘série temporelle’, développer et déployer des modèles prédictifs, et assurer la communication avec le client;
Contribuer aux activités de prospection et d’avant-vente de l’offre ‘Maintenance Prédictive’ (compréhension du besoin, proposition de solutions techniques, réalisation de missions d’audit, …)

PROFIL REQUIS
Ingénieur de formation ou équivalent universitaire (BAC+5), vous avez une spécialité en Statistiques, Machine Learning et Mathématiques appliqués. Vous justifiez d'au minimum 5 ans d’expérience dont 2 en tant que Data Scientist.

Vous disposez des compétences techniques suivantes:
Mathématiques et statistiques (dont connaissance de R);
Connaissances des techniques/algorithmes de Data Mining et Machine Learning;
Langage et Framework de développement : Java, Python, SPARK;
Connaissance des architectures BigData;
Analyse de Time Series;
Optionnel : Bases de données NoSQL, Hive, Traitement du Signal, Maintenance prédictive.
Une première expérience en avant-vente serait appréciée.

Force de proposition, vous parlez anglais couramment.

CS Group en quelques mots ?
CS Group est un concepteur, intégrateur et opérateur de systèmes critiques intelligents cyberprotégés.
En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS Group a su s’imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l’Aéronautique et de l’Energie. (www.c-s.fr)

Nous rejoindre c’est :
Bénéficier d’un management de proximité.
Progresser individuellement et collectivement.
Evoluer dans un environnement flexible (télétravail…), à dimension humaine et convivial.

Où sommes-nous situés ?
Notre agence se situe à Saint-Martin du Touch - 6 rue Emmanuel Arin - 31300 Toulouse.
Le site Europarc 2 est accessible en transports en commun :
- Ligne de Bus L2 - Arrêt Jean Petit.
Ligne C SNCF TER – Arrêt Saint-Martin

Si vous préférez, CS rembourse des indemnités kilométriques vélos !

Intéressé ? Déposez votre CV et additionnons nos talents !"
STAGE Data Scientist – Analyse d'image H/F,Magny-les-Hameaux (78),Safran,Indisponible,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la défense. Implanté sur tous les continents, le Groupe emploie plus de 92 000 collaborateurs pour un chiffre d'affaires de 21 milliards d'euros en 2018. Safran occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. Pour répondre à l'évolution des marchés, le Groupe s'engage dans des programmes de recherche et développement qui ont représenté en 2018 des dépenses totales d'environ 1,5 milliard d'euros.

Safran est classé dans le Top 100 Global Innovators de Thomson Reuters ainsi que dans le palmarès « Happy at work » des sociétés où il fait bon vivre. Le Groupe est en 4ème position du classement Universum des entreprises préférées des jeunes ingénieurs en France.

Avec la numérisation progressive des outils et méthodes de travail, les secteurs de l'aéronautique, de l'espace et de la défense disposent d'une multitude de données, issues notamment des infrastructures de production et des capteurs installés sur les produits. En déployant une stratégie Big Data, Safran veut faire de l'analyse des données un levier de performance.

De nombreuses possibilités d'optimisation des performances reposent sur l'analyse d'images.

En se basant sur les travaux déjà réalisés chez Safran et les résultats de la littérature (Convolutional Neural Networks, Transfer Learning), vous appliquerez des techniques avancées de science des données pour extraire des informations utiles d'images et notamment identifier les défauts de pièces en production.
Bonne connaissance de méthodes de machine learning (la connaissance des CNN est un plus).
A l'aise en Python (la connaissance d'un framework Deep Learning est un plus – PyTorch, TensorFlow, …)
Ouverture d'esprit, rapidité d'apprentissage, autonomie
Capacité à communiquer des résultats techniques"
DATA SCIENTIST F/H,Le Bouscat (33),Aquitem,Indisponible,"DESCRIPTION DU POSTE
Groupe Aquitem - partenaire de votre succès !
Créé en 1987, le groupe réunit aujourd'hui deux sociétés et 120 personnes sur le même site ayant pour cœur d’expertise la DATA :
Aquitem, spécialiste de la conception, gestion et mise en place opérationnelle de programmes de fidélité pour les grandes enseignes

Aliénor.net, spécialiste web et hébergement à valeur ajoutée sur ses propres infrastructures.

Quelques mots nous caractérisent : #Qualité #Service #Innovation #Data #Technologie.

AQUITEM recherche aujourd'hui un/une Data scientist.
De formation supérieure (BAC+5) en mathématiques/statistiques, vous maîtrisez les concepts et les outils modernes de gestion des bases de données relationnelles. Vous avez déjà participé dans le cadre d'une première expérience ou de stages à la gestion de bases de gros volumes et conçu des algorithmes et des statistiques appliquées au marketing.

Au sein de notre division ZeFid' qui gère des bases de données marketing de gros volumes pour des grandes enseignes, vous intégrerez l'équipe de data scientists (5 personnes) et travaillerez en étroite collaboration avec les services de la société (Direction, Chef de projet Marketing, Chef de Projet technique...)

Vos missions consisteront à :
concevoir et implémenter des modèles statistiques ou des algorithmes de machine learning (classification, scoring, recommandation, etc…)

réaliser des études et des analyses permettant une meilleure connaissance du profil des clients des enseignes dont nous gérons les programmes de fidélisation afin d'optimiser ces derniers

agréger, regrouper et donner du sens aux données pour les mettre à disposition des équipes marketing

accompagner les équipes marketing opérationnelles sur les questions de préconisation de ciblage et d’analyses d’opérations

établir des bilans statistiques et des états de reporting dont vous participerez à l'automatisation

contribuer au développement de notre outil de Datavisulisation MyDataviz'


Pour réussir sur ce poste, vous êtes curieux, rigoureux et méthodique, vous avez une bonne aisance relationnelle et rédactionnelle. Vous maîtrisez les langages SQL et R.

Quelques petits plus que nous apprécierions : connaissance de Python, des bases NoSQL et d'un outil décisionnel type Business Object

Chez nous, vous aurez 21 jours de RTT, des tickets restaurant, une prime de vacances et une prime de fin d’année, une excellente mutuelle et une prévoyance de branche.
De plus, il fait bon travailler chez AQUITEM : Parking facile, accès transports en commun, prime Vélo!

FORMATION EXIGÉE
Bac+5

EXPÉRIENCE EXIGÉE
stages ou première expérience

TYPE DE CONTRAT
CDI

SALAIRE INDICATIF
selon profil

LIEU DE TRAVAIL
Le Bouscat"
STAGE - Data Scientist H/F,Boulogne-Billancourt (92),BVA group,Indisponible,"À propos
Fondée en 1970, BVA Group est une société d’études et de conseil française, experte en sciences comportementales, classée parmi les 20 premières au monde.
Chaque jour, les collaborateurs de BVA aident les marques et les organisations à améliorer l’expérience de leurs clients, collaborateurs ou des citoyens pour générer progrès et croissance équitable.
Les solutions conseil de leur BVA Nudge Unit, plusieurs fois primée, aident consommateurs et collaborateurs à passer de l’intention à l’action.
Au-delà de ses différentes localisations en France, BVA possède également des bureaux à New York, Chicago, Londres, Genève, Hambourg, Francfort, Rome, Milan, Hong Kong, Shanghai et Singapour.
Descriptif du poste
Afin de participer à la réalisation de nos études et de nos projets de R&D, nous recherchons un(e) Stagiaire Data Scientist H/F pour notre équipe Data. Vous aurez l’opportunité de travailler pour des clients de l’univers de la banque-assurance, automobile, télécom-multimédia, tourisme, transport, industrie, du commerce et de la distribution.
Ce que nous pouvons accomplir ensemble ?
En tant que Stagiaire Data Scientist chez BVA, vous serez intégré à notre équipe de Data Scientists. Vous participerez à la bonne réalisation des études en prenant en charge la production d’analyses statistiques et à la mise en place de nouveaux outils ou de nouvelles méthodes.
D’une manière générale, vous serez en charge de :

1. Prendre en main et optimiser des scripts pour la mise en œuvre d’analyses statistiques multivariées (analyses factorielles, segmentations, modélisation, etc.)
2. Accompagner les Data Scientists Séniors dans un projet de recherche et développement visant à découvrir et mettre en place de nouveaux outils ou de nouvelles méthodes sur l’un des thèmes suivants : l’exploitation des données multi sources, data expanding, modélisations complexes, machine learning…
Vous interviendrez sur des problématiques diverses : satisfaction client, rétention/churn, potentiel marché territorialisé, … avec une particularité au niveau de la nature de données : la possibilité permanente de travailler sur l’hybridation des données multi sources (enquêtes, CRM, Open Data, Réseaux Sociaux, …).
Vous évoluerez dans un environnement de spécialistes de la Data et serez entourés d’experts Data Scientist, Data Analyst et Data Engineer.
Profil recherché
Vous êtes la perle rare car …
Vous êtes diplômé(e) d’un Bac +4/+5 en Statistique/ Econométrie, Mathématiques Appliquées ou Data Science.
Vous avez des connaissances en :
Statistical analysis,
Data Mining,
Data-driven decision making,
Machine Learning.
Et en termes de compétences techniques :
Langage de programmation : R et/ou Python.
Notebooks : RStudio et/ou Jupyter
Logiciels statistiques : SAS et/ou SPSS
Data Platform type Azure
On est fait pour vous car …
Nous avons gardé notre esprit start ’up : collaboration, reconnaissance, convivialité et esprit d’initiative font partie de nos valeurs.
Nous avons à cœur d’associer nos collaborateurs à notre développement.
Pour notre déménagement à Clichy en 2020, nous réinventons chaque jour notre manière de travailler. Objectifs : souplesse, agilité, liberté !
Nos soirées sont à l’image de nos collaborateurs : créatives, innovantes et un peu folles.
Nous offrons le petit déjeuner tous les matins, pour bien commencer la journée !
Indemnité de stage :
Entre 900€ et 1100€ bruts, selon le niveau d’études et durée du stage + tickets restaurant (avec la participation de l’employeur) + remboursement 50% titre de transport + 1RTT/mois.
Début du stage : Dès que possible
Durée : 6 mois
Lieu : Boulogne-Billancourt (92) puis Clichy (92) dès l’été 2020.
Informations complémentaires
Type de contrat : Stage
Lieu : Boulogne-Billancourt, France (92100)
Niveau d'études : Bac +4"
Data Scientist H/F,France,Linkvalue,Indisponible,"Si tu as...
Une bonne maitrise des concepts de Machine Learning : apprentissage, optimisation, classification, régression, recommandation, clustering, réseaux de neurones, NLP, Computer Vision...
Que tu partages notre passion des technos...
Python, R, Scala, Go, JS
Environnement : Jupyter, Spark, Hadoop, Tensorflow...
Et que toi aussi tu exiges du code sexy …
Maitrise des bonnes pratiques du développement et de conception
Tests d’intégration ...
Alors tu as ta place chez Linkvalue !
Les plus :
Participation aux événements majeurs de la Data Science (DotAI...)
Evangélisation de la Data Science auprès des Partners Linkvalue
Force de proposition sur les technos à utiliser
Des bureaux agréables en plein coeur de ville (Paris, Lyon et Lille)
Accès au Training Center
Contribution aux projets du Lab autour de la data, avec 10% du temps dédié à la R&D
Nombre d'activités et events fun (afterwork, sortie sportive, meetup, soirée, séminaire...)
Evoluer au sein d'une entreprise co-construite avec une vraie liberté d'entreprendre
Et plein de choses à découvrir lors de notre prochaine rencontre !"
"CDD ingénieur de recherche ""Data Scientist"" pour le projet H...",Annecy-le-Vieux (74),CNRS,2 438 € - 3 101 € par mois,"Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler. Les informations de votre profil complètent celles associées à chaque candidature. Afin d’augmenter votre visibilité sur notre Portail Emploi et ainsi permettre aux recruteurs de consulter votre profil candidat, vous avez la possibilité de déposer votre CV dans notre CVThèque en un clic !
Informations générales
Référence : UMR5814-CLABOM-032
Lieu de travail : ANNECY LE VIEUX
Date de publication : vendredi 13 mars 2020
Type de contrat : CDD Technique/Administratif
Durée du contrat : 24 mois
Date d'embauche prévue : 1 mai 2020
Quotité de travail : Temps complet
Rémunération : entre 2437,62 € et 3101,07 € brut en fonction de l'expérience passée
Niveau d'études souhaité : Ingénieur
Expérience souhaitée : Indifférent
Missions
Le Laboratoire d'Annecy de Physique des Particules (CNRS LAPP) lance un appel à candidature pour occuper le poste de ""Data Scientist"" au sein du projet européen ESCAPE (European Science Cluster of Astronomy & Particle physics ESFRI research infrastructures) - https://projectescape.eu. ESCAPE vise à répondre aux défis de la Science Ouverte (Open Science) partagés par les projets ESFRI (CTA, ELT, EST, FAIR, HL-LHC, KM3NeT, SKA) ainsi que par d'autres infrastructures de recherche paneuropéennes (CERN, ESO, JIVERIC, EGO‐ Virgo) dans les domaines de l'astronomie et de la physique des particules.
Dans ESCAPE, le groupe de travail ESAP (ESFRI Science Analysis Platform) est chargé de développer une plate-forme ""Open Science"" intégrant des services Web permettant d'effectuer une analyse interactive de données dans le cloud, incluant la possibilité de développer des logiciels et des ""workflows"" en ligne et de visualiser les résultats.
Bien qu'il ne s'agisse pas d'un projet ESFRI, le Large Synoptic Survey Telescope (LSST) est en train de mettre au point une plate-forme scientifique ""open source"" qui couvre une grande partie des besoins de l'ESAP, constituant ainsi un exemple pratique à partir duquel l'ESAP pourra être développée.
Le ""Data Scientist"" déploiera la plate-forme d'analyse scientifique et évaluera ses performances techniques ainsi que sa capacité à fournir des services scientifiques adéquats. L'extension de la plateforme d'analyse scientifique à d'autres projets ESFRI sera également explorée, ainsi que la possibilité de mettre en œuvre des services de corrélation entre différents catalogues afin de l'utiliser comme un outil d'astronomie multi-messagers.
Activités
Le.a candidat.e retenu.e sera chargé.e de déployer et d'évaluer les différentes composantes de la plate-forme scientifique LSST en bonne coordination avec le groupe du LAPP, les centres de calcul hébergeant la plate-forme (au LAPP ou au centre de calcul de l'IN2P3 à Villeurbanne) et les membres du ""Work Package"" ESCAPE ESAP. Une fois déployée et testée fonctionnellement, la plate-forme sera utilisée pour accéder et analyser des ensembles de données réels et simulés, traités avec les logiciels LSST. Des cas d'utilisation d'analyses réalistes seront définis et mis en œuvre avec l'aide des scientifiques locaux.
Un lien important existe entre la plate-forme scientifique et le système de base de données parallèle de LSST: Qserv. Avec l'aide des experts locaux, le candidat retenu devra acquérir les connaissances techniques nécessaires sur le système de base de données afin de garantir une inter-opération harmonieuse des deux composants.
En tant que membre du groupe de travail ESAP d'ESCAPE, le.a candidat.e sélectionné.e sera également chargé.e de produire toute la documentation, et les délivrables requis par le projet.
Compétences
Le.a candidat.e sélectionné.e aura:
un doctorat en physique ou un diplôme d'ingénieur-e en informatique de niveau I,
une excellente connaissance des pratiques et des outils modernes de programmation, en particulier python et git,
une expérience dans les méthodes d'analyse de données scientifiques, la gestion de grand volume de données, l'informatique dans le cloud, les systèmes de gestion de conteneurs,
un excellent niveau d'anglais parlé et écrit (niveau C1),
un fort intérêt pour la science et en particulier l'astronomie et l'astrophysique,
le sens de la rigueur dans le travail, de l'organisation et du travail d'équipe,
la capacité de gérer son travail de manière autonome, de pouvoir prendre des initiatives et de pouvoir s'adapter rapidement à l'évolution du projet et des tâches,
la capacité à travailler dans le cadre d'un projet international fortement distribué.
Contexte de travail
Le LAPP (https://lapp.in2p3.fr/) est un laboratoire de physique des hautes énergies situé à Annecy, à 50 km de Genève. Le laboratoire a été fondé en 1976 et est l'un des laboratoires de l'IN2P3 (Institut de physique nucléaire et de physique des particules), institut du CNRS (Centre national de la recherche scientifique). Le LAPP est un laboratoire commun de recherche de l'Université Savoie Mont Blanc (USMB) et du CNRS-IN2P3. Près de 150 personnes travaillent au LAPP. Les recherches menées au LAPP visent à étudier les constituants ultimes de la matière, leurs interactions fondamentales, ainsi qu'à explorer leurs liens avec les grandes structures de l'Univers. Le LAPP coordonne le projet Européen ESCAPE.
Les États membres de l'Union européenne ont lancé l'initiative European Open Science Cloud (EOSC) afin de renforcer l'excellence des projets scientifiques basés sur l'exploitation intensive des données. EOSC est un ""cloud"" européen de recherche orienté données, permettant un accès universel aux données via une plate-forme en ligne unique. EOSC fédérera les ressources existantes dans les centres de données nationaux et les infrastructures de recherche, permettant ainsi aux chercheurs et aux citoyens d'accéder aux données produites par d'autres scientifiques et de les réutiliser.
ESCAPE vise à relever les défis de la science ouverte partagés par les installations ESFRI (CTA, ELT, EST, FAIR, HL-LHC, KM3NeT, SKA) ainsi que par d'autres infrastructures de recherche paneuropéennes dans les domaines de l'astronomie et de la physique des particules (CERN, ESO, JIV-ERIC, EGO‐ Virgo). La complexité de tout ce nouvel environnement scientifique augmente rapidement, le volume de données produit connaît une augmentation considérable et les logiciels d'analyse des données deviennent de plus en plus complexes. D'autre part, ces données devront être accessibles aux communautés scientifiques émergentes qui collaborent et interagissent.
Le projet ESCAPE rassemble des partenaires de l'astronomie et de la physique des particules qui contribuent à la construction de l'EOSC. Les actions ESCAPE ont pour objectif de fournir des solutions permettant d'intégrer des données, des outils, des services et des logiciels scientifiques, mais aussi de favoriser des approches communes pour la mise en œuvre de la gestion des données ouvertes et d'établir l'interopérabilité au sein d'EOSC en tant qu'installation multi-projet intégrée à la recherche fondamentale.

Le.a candidat.e retenu.e sera rattaché.e à l'équipe LSST du LAPP et à ce titre, sera invité.e à contribuer à la vie scientifique du groupe.
Contraintes et risques
De courts séjours sont à prévoir en France et à l'étranger"
